mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error
0.21,665.802,0,4.97069,15.14203204,3.891276402,0.328271,0.0531738,1.509971857,1.303775101,229.467,368.1172626,19.18638222,0.623353,0.0846518,33.37807708,1.14545916,150.572,479.159374,21.88970932,0.314242,0.0152507,10.0357279,1.066650691,260.415,367.6028424,19.17297166,0.708414,0.311988,115.4891535,1.443481188,1.82794,1.352013314,1,0,1.352013314,1.739637687,20.7756,4.558025888,1,0,4.558025888,1.219393225,253.747,732.870837,15.92943816,0.346237,0.300485,220.2857492,1.868131443,25.223,5.022250492,1,0,5.022250492,1.199113923
0.22,658.112,0,4.81664,14.56974155,3.817033083,0.330592,0.0535687,1.48374357,1.308045353,219.809,358.5007519,18.93411608,0.613134,0.0869666,33.26882298,1.151353325,145.594,462.7378939,21.51134338,0.314636,0.0156326,9.906408237,1.068041322,233.287,352.0468295,18.76291101,0.662659,0.305025,108.1004926,1.463379839,1.51736,1.231811674,1,0,1.231811674,1.811812407,19.4725,4.412765573,1,0,4.412765573,1.226615256,246.902,712.9734709,15.71311554,0.346299,0.302717,215.8977734,1.874426993,22.0214,4.692696453,1,0,4.692696453,1.213097099
0.23,652.323,0,4.61348,13.66730261,3.696931513,0.337556,0.0545359,1.453570559,1.315070307,201.724,341.3363836,18.47529116,0.590983,0.0888066,32.21938542,1.15972014,143.2,449.0900595,21.19174508,0.318867,0.0157135,9.77035573,1.068228741,239.452,337.9674978,18.38389235,0.708506,0.329176,112.0106747,1.46777924,1.51736,1.231811674,1,0,1.231811674,1.811812407,16.7506,4.092749687,1,0,4.092749687,1.244334513,237.446,683.1818483,15.40928292,0.347559,0.308183,210.6131362,1.886993827,20.4046,4.517145116,1,0,4.517145116,1.221378763
0.24,632.57,0,4.23138,13.18905946,3.63167447,0.320825,0.0533421,1.361062065,1.321659143,193.59,325.6169128,18.04485835,0.594533,0.0911606,31.56266539,1.163038718,138.716,431.6973052,20.77732671,0.321327,0.0160894,9.634139705,1.06945226,285.602,323.8698089,17.99638322,0.881842,0.398652,130.0830342,1.455469619,1.51736,1.231811674,1,0,1.231811674,1.811812407,15.7557,3.969345034,1,0,3.969345034,1.251930732,211.873,648.5385362,14.55585793,0.326693,0.301436,195.5506891,1.922961817,18.236,4.270362982,1,0,4.270362982,1.234172131
0.25,623.256,0,4.12316,13.12410279,3.622720357,0.314167,0.0526869,1.331724148,1.322986289,174.723,314.1578998,17.72449999,0.556163,0.0904845,30.0871376,1.172199067,131.142,400.4604889,20.01150891,0.327478,0.0162535,9.236433189,1.070430779,252.525,309.1380737,17.58232276,0.816868,0.403273,125.4916334,1.496947365,0.771106,0.878126415,1,0,0.878126415,2.138788201,15.2953,3.910920608,1,0,3.910920608,1.255694273,194.299,615.0843648,13.93911762,0.31589,0.297734,183.1844564,1.942796702,17.0372,4.127614323,1,0,4.127614323,1.242270697
0.26,611.561,0,4.22944,12.88383215,3.589405543,0.328275,0.057894,1.394554094,1.329725471,165.353,302.6204054,17.3959882,0.546404,0.0923831,29.52869815,1.178579755,125.281,379.480702,19.48026442,0.330138,0.016708,9.031070201,1.072086511,254.181,293.3699438,17.12804553,0.866418,0.42379,125.2097908,1.492600906,0.771106,0.878126415,1,0,0.878126415,2.138788201,11.2524,3.354459718,1,0,3.354459718,1.2981106,168.388,583.6328535,12.97644019,0.288517,0.327159,190.9774422,2.13415114,15.2643,3.906955336,1,0,3.906955336,1.255953783
0.27,595.976,0,4.00215,12.27118862,3.503025638,0.326142,0.0589802,1.352439881,1.337928334,157.098,282.2427354,16.80008141,0.556606,0.0969012,28.90407546,1.183987546,113.038,355.7730742,18.86194778,0.317725,0.0166466,8.425554173,1.074537361,254.24,280.9613954,16.7619031,0.904893,0.440747,124.7583471,1.490710931,0.724585,0.851225587,1,0,0.851225587,2.174776716,10.0301,3.167033312,1,0,3.167033312,1.315752915,151.483,551.4287794,12.30784303,0.27471,0.333297,183.8206554,2.213473825,13.5869,3.686041237,1,0,3.686041237,1.271293764
0.28,576.977,0,3.64152,11.21499472,3.348879621,0.324701,0.0594723,1.275644758,1.350305575,155.309,264.028574,16.24895609,0.588228,0.107245,29.8854226,1.192425568,105.264,332.5803221,18.23678486,0.316507,0.0171957,8.125466046,1.07719131,152.266,265.3193866,16.28862752,0.573897,0.358291,95.52006581,1.627323669,0.724585,0.851225587,1,0,0.851225587,2.174776716,9.60081,3.098517387,1,0,3.098517387,1.322734997,141.041,526.5612108,11.87606837,0.267853,0.336078,176.9942266,2.254913299,11.8549,3.443094538,1,0,3.443094538,1.290436405
0.29,563.188,0,3.16946,10.50436154,3.24104328,0.301728,0.0580349,1.152367497,1.363584805,151.659,242.3581414,15.56785603,0.625764,0.121212,30.94986476,1.204075358,97.1113,314.127629,17.72364604,0.309146,0.0172428,7.704504588,1.079336849,201.803,247.1709876,15.72167254,0.816451,0.585088,145.1853125,1.719440804,0.724585,0.851225587,1,0,0.851225587,2.174776716,7.91921,2.814109095,1,0,2.814109095,1.35535225,118.685,493.1338943,10.89426455,0.240675,0.327955,161.7469793,2.362825793,10.2706,3.204777683,1,0,3.204777683,1.312034125
0.3,549.337,0,3.16298,10.00559912,3.163162835,0.316121,0.0627333,1.18062353,1.37326304,125.704,224.5756959,14.98584985,0.55974,0.117936,27.78212387,1.22101225,91.2236,297.9381612,17.26088529,0.306183,0.0175637,7.437359821,1.081528901,163.995,226.1610067,15.03865043,0.725125,0.580406,131.7173906,1.803179308,0.674361,0.821194861,1,0,0.821194861,2.217737771,3.73025,1.931385513,1,0,1.931385513,1.517763022,103.599,455.4142507,10.1783594,0.227483,0.354506,161.4636868,2.558544839,8.99058,2.998429589,1,0,2.998429589,1.333507915
